#p ci (L=1)	ci (L=3)	ci (L=5)	ci (L=7)
-0.253012	0.0		0.0		0.0
0.483027	0.104388	0.0		0.0
-0.164531	-0.08238	-0.0150628	0.0
0.0168134	0.0118925	0.00856552	0.000657954
-0.00048879	-0.000423071	-0.000519134	-0.000651735
-5.62349e-8	-3.52071e-8	2.07474e-8	4.02019e-8
#n ci (L=1)	ci (L=3)	ci (L=5)	ci (L=7)
0.00070445	0.0		0.0		0.0
-0.00520619	-0.00507773	0.0		0.0
0.00351738	0.00295876	0.000728257	0.0
-0.00069372	-0.000444073	-0.000228224	-0.0000513882
0.000060668	0.0000235555	0.000018572	6.60564e-6
-1.0888e-6	-9.09827e-7	-4.68954e-7	-2.43844e-7
