#p ci (L=1)	ci (L=3)	ci (L=5)	ci (L=7)
-0.178908	0.0		0.0		0.0
0.0320074	0.0904055	0.0		0.0
0.0211378	0.0034629	-0.0137503	0.0
-0.00419937	-0.00308878	-0.00344057	0.000615352
0.000173592	0.000141839	0.000290862	0.000607814
-6.77831e-8	-2.95736e-8	1.61033e-8	1.93527e-8
#n ci (L=1)	ci (L=3)	ci (L=5)	ci (L=7)
0.000498115	0.0		0.0		0.0
-0.000408223	-0.00439751	0.0		0.0
-0.000741592	0.00230722	0.000664811	0.0
0.000215744	-0.000355182	-0.000138555	-0.0000480682
-0.0000124709	0.0000227478	8.67291e-6	6.82111e-6
-1.28214e-7	-2.62241e-7	-2.143e-7	-1.52006e-7
