#p ci (L=1)	ci (L=3)	ci (L=5)	ci (L=7)	ci (L=9)
0.0257064	0.0		0.0		0.0		0.0
-0.0418759	-0.00920991	0.0		0.0		0.0
0.015169	0.00417235	0.000347229	0.0		0.0
-0.00163883	-0.000562315	-0.0000416612	-0.0000106207	0.0
0.000045204	0.0000198897	3.28572e-6	7.80947e-7	0.0000282336
0.0		0.0		0.0		0.0		0.0
#n ci (L=1)	ci (L=3)	ci (L=5)	ci (L=7)	ci (L=9)
0.353305	0.0		0.0		0.0		0.0
-0.562061	-0.233908	0.0		0.0		0.0
0.181791	0.117078	0.0549077	0.0		0.0
-0.0180905	-0.0142114	-0.0112771	-0.00718702	0.0
0.00051239	0.000451122	0.000469159	0.000528465	0.000752534
0.0		0.0		0.0		0.0		0.0
