#p ci (L=1)	ci (L=3)	ci (L=5)	ci (L=7)	ci (L=9)
0.0181769	0.0		0.0		0.0		0.0
-0.0174535	-0.00797608	0.0		0.0		0.0
0.00405522	0.00361834	0.000316977	0.0		0.0
-0.00028759	-0.000359967	-0.0000879456	-9.93462e-6	0.0
6.37115e-6	6.89172e-6	1.79986e-6	5.84383e-7	0.0000267848
0.0		0.0		0.0		0.0		0.0
#n ci (L=1)	ci (L=3)	ci (L=5)	ci (L=7)	ci (L=9)
0.249824	0.0		0.0		0.0		0.0
-0.205762	-0.202568	0.0		0.0		0.0
0.045436	0.0675417	0.0501235	0.0		0.0
-0.00335668	-0.00613658	-0.00769287	-0.00672282	0.0
0.0000723721	0.00015611	0.000256944	0.000395465	0.000713918
0.0		0.0		0.0		0.0		0.0
